ta_name,year_period,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9
Ashburton District,2023-2024,2.046681395069738E8,3.273691504462316E7,7.69210417766276E7,2.8549393717552084E8,5.355681567799478E7,2.1243064364206117E7,2.1279045371724305E8,1.3234141406761831E8,1.2456160960097465E8,8.376468916955808E7
Timaru District,2023-2024,5.834305076879404E7,1.151265398883272E7,1.6923852570925247E7,1.3328846555154523E8,9202272.075710401,1576708.6305932137,7.57476040527631E7,4.5461179941704944E7,1.2265586405723423E7,9969077.626087623
Mackenzie District,2023-2024,1.416869521211512E7,8336003.5375574455,1.5462031333616726E7,4.819333326279392E8,1.6336885481632967E7,1317446.5014648438,7.300380055001724E7,8.28808630696021E7,891746.2099609375,2480944.013162531
Waimate District,2023-2024,4.905173248161191E7,1.2321164275819547E7,1.7355312600402113E7,5.14739424230959E8,7082167.382322304,6648194.255575981,6.529461172495595E7,3.966965531034391E7,4705106.636879596,1039432.1339690564
Hurunui District,2023-2024,2.758811130745251E7,6687969.708195466,1.2717548793123852E7,3.877665450257124E8,1.0261404367256433E7,256592.861328125,5.599210525222523E8,4.060756956608073E7,1.8488186257398896E7,3.253760963917356E7
Waimakariri District,2023-2024,2.1741067744021907E7,7561092.692815563,6103587.572070313,1.555198406288392E8,4988970.708911612,868436.5764227175,9.44957330410271E7,1.0365614843367035E7,1.2058002269636568E7,1.6772602690550318E7
Christchurch City,2023-2024,8473447.141318167,4200827.36730239,1786510.0718673407,1.4076611927380135E7,5931939.5462469375,665505.6557617188,2.074648671826938E7,1298751.462469363,1670105.7787664677,3090790.246532246
Selwyn District,2023-2024,1.0147229695136718E8,5.71886299062366E7,2.0413227681253828E7,2.078166512822667E8,2.8247131174100023E7,1.9001935744085092E7,1.2566604289634076E8,4.3337384545052096E7,3.502495445458601E7,2.6699121130897675E7
Ruapehu District,2023-2024,1.707131748454542E7,6689920.7294921875,9441261.82966452,4.615890879899089E7,9001805.375488281,2800761.814125689,3.670726998548368E7,3310697.2006835938,1.3884733834070543E7,1.2676015155359605E7
Thames-Coromandel District,2023-2024,4288019.538574219,71594.13134765625,2626750.7511871937,9369092.395969287,629922.6186523438,167138.94140625,6946617.804788986,1734303.2677045036,1386574.6274414062,5854815.783610983
