ta_name,year_period,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19
Ashburton District,2023-2024,6.949723371510226E7,6461411.378063725,4691742.960587086,2.059324124230718E8,1.8689577952885646E7,2275707.638129979,3.6172143467840455E7,3592936.7122491575,1.0867884547340302E7,3711067.5960841766,2.446128317578125E7,3288799.7910117954,3.8305735320603564E7,5475524.29186198,1.0663251824190028E7,3.263633278191272E8,1.214626401097254E8,4.507964085949754E7,2.775824168289177E8,1.3503341689269302E7
Timaru District,2023-2024,1.4435850292612592E7,1144688.060546875,1226949.3447840074,6.1171476642670035E7,5101237.622122012,250228.0236308977,1.6451110045333564E7,2398745.0850375304,1707703.8854204966,422602.43944163603,4746160.009463082,4516112.78081725,6644621.699934896,2546544.000624234,3184240.176386336,7.788888874686159E7,7.787196504388404E7,6575975.570391009,8.107089246321806E7,4934459.679499847
Mackenzie District,2023-2024,3357967.271875,1901652.7689433978,2.2428204290829886E7,4.0092169858429074E7,7528479.02332261,807016.0434570312,4.918452406325444E7,2769965.0756835938,432383.978515625,323497.6376953125,4490495.447753906,1.902166433544922E7,4793295.574391085,4.448656921285616E7,2067288.4072265625,2.736124180237056E7,4.07381293758565E8,3265644.5466681984,4.9708851866406254E7,5409543.573376225
Waimate District,2023-2024,1.2993172970703125E7,1763093.7124023438,929135.1977768842,6.149513254115924E7,2488796.5701612285,1310480.070425475,2.3046878631246172E7,2118977.6479990045,155510.03282207414,21298.94580078125,5733442.446804151,3215908.2188457414,5512512.790266927,8596881.316335402,1565654.1333007812,6.20119647332127E7,4.598045749227156E8,1893254.9453125,5.858874142900007E7,4661389.776549096
Hurunui District,2023-2024,7338514.057469746,191621.36328125,124477.09228515625,5.137288857039292E7,3881981.5302734375,14615.87255859375,4.853536020562367E8,2542710.2885129442,939717.4794921875,1980342.1818608302,3428204.6577148438,1.4635327155445771E7,6012809.229342831,1.4320062363769531E7,7971843.044433594,5.477116163565219E7,2.976950988374713E8,2.5530147232169118E7,1.0742080248245825E8,1.1306662917153034E7
Waimakariri District,2023-2024,6874662.3238894,363537.97607421875,43615.4970703125,3.680878708435394E7,2201934.3939223345,36358.1611328125,3.3869881102167584E7,1799454.2895967371,1307601.5649050244,902485.603515625,2130931.7099609375,5710243.1171549475,3458876.4986845125,524728.1713867188,1812234.548828125,3.308916729080499E7,1.2748404756542009E8,1.4449699159388402E7,5.126611132571614E7,6340591.383689491
Christchurch City,2023-2024,2174567.3246859685,468637.71134535846,101356.93798828125,5276977.912448299,2854286.5520641846,101238.1376953125,9492395.0863894,1428593.174195772,972095.4047411153,471078.94970703125,1134622.8736615349,9285053.411421953,2806388.5203929227,252961.92138671875,195065.56005859375,5754773.857758884,4023952.9830844062,1461343.9163162531,1.2203309238221895E7,1482276.4423502604
Selwyn District,2023-2024,3.572508379207835E7,9980306.044224877,1160462.0916819852,1.1819784784449296E8,1.263721048237209E7,1343067.736638327,5.0026047848031566E7,7085644.947181372,6757554.4224168975,945499.3902879902,7324688.396972656,1.529301273771446E7,1.9232762962794885E7,3875399.0999348965,1659396.3044385721,1.3092578247368833E8,1.0367954072308515E8,2.0012369809210327E7,1.0987003736417547E8,9135661.29476486
Ruapehu District,2023-2024,5460445.022032016,239609.10546875,285391.17578125,2.0869310546380974E7,2742620.6977768843,387332.642578125,3867227.6067804075,603462.0610351562,1555548.913849954,1585782.7193110446,1301893.8487017464,1.9476891483398438E7,1.2711536535081573E7,494862.57535807294,6245509.562666589,1.0207872619829964E7,2.5550128563449755E7,2214174.30859375,3.850360014727137E7,3439492.072558594
Thames-Coromandel District,2023-2024,542098.1264648438,7960.3505859375,39817.13720703125,2549688.32142693,119633.73046875,55703.22802734375,748461.2145699295,7949.8505859375,7947.2451171875,2070317.10914905,438780.9189453125,3102890.3331878064,3025997.215946691,55926.755859375,2513686.278358609,405864.13916015625,4139626.73309015,2828632.7901635263,7789820.302720971,2624028.0796472887
Hauraki District,2023-2024,786068.6938476562,,71405.287109375,5451569.97432215,172113.90768612133,126954.97509765625,365541.80517578125,23817.12890625,174623.431640625,937538.2856445312,2108325.0288660387,2805944.90396178,3482057.5538277416,23834.3662109375,3951594.7746151197,7949594.896922871,2264349.6360370712,1.7694974183888633E7,6398353.35045573,595098.2876110601
Waikato District,2023-2024,7022299.305775123,23822.638671875,182606.5654296875,2.4351953832917813E7,2192547.7249348955,1182934.0756835938,3821550.2889552694,372857.18310546875,6972649.914194623,4187780.2536975336,9509151.696616499,9567408.442382812,2.2031060335027955E7,1228787.4459616267,5.147543059883961E7,3.231421886385953E7,3.0155874098115813E7,7.63821220825559E7,3.697974178943014E7,4472052.29285769
Matamata-Piako District,2023-2024,4271669.414326746,39475.1181640625,170716.31528607538,1.234556627186734E7,260976.4697265625,648916.3227539062,660334.1713694853,39461.6513671875,276449.7763671875,79071.39892578125,3293129.3106330424,1436306.988147212,5344504.045442708,15811.34716796875,1.0717892751983762E7,1.6707802338221889E7,4488328.036173023,2.6045282918715533E7,5057621.048156019,389209.90271714155
Hamilton City,2023-2024,47336.42578125,,15778.5849609375,543707.4769780177,161133.90748506435,7887.455078125,148051.40486940873,,8845.860788143382,,63104.1591796875,15772.17333984375,145102.25897480085,55217.5546875,738426.3007908241,771630.1812787226,785828.8846469057,1223455.3745576746,205543.5514073989,134192.3016084559
Waipa District,2023-2024,165163.2412109375,,15747.60009765625,7457624.04721201,181155.46533203125,24584.1998180913,377942.51953125,7884.15185546875,158772.18245442706,87316.70287224265,849843.1254882812,1663469.8552045038,2793489.4089671415,39410.17333984375,6505999.514345895,7871288.345791208,4019893.683660769,1.9355418189160157E7,4905134.486228554,674681.4360198376
Ōtorohanga District,2023-2024,329536.50439453125,31357.2548828125,47049.14599609375,7007617.845107613,253124.85238587623,352959.32275390625,102068.4912109375,31317.7294921875,943026.45703125,253404.80636871938,502072.3564453125,3985885.1655273438,1866311.3891601562,,1782738.8984738817,6150139.907232307,2490428.503006281,5018107.697202437,6174892.837210861,918757.0180664062
South Waikato District,2023-2024,2516204.37890625,188286.9072265625,156949.083984375,1.872866286681602E7,1035262.6762695312,227784.5947265625,321680.63623046875,627095.5771484375,54969.7724609375,314427.2066463695,2949063.169921875,2.6090231920063574E7,3.257211785327244E7,133264.20849609375,5158703.443784467,8904109.427491192,1.5148928674289599E7,5927879.898487286,3.5550907707471654E7,1819384.8344726562
Waitomo District,2023-2024,1492227.4822208178,46937.7607421875,39052.734375,7885028.952395449,1164138.6398303462,164145.9560546875,1164749.76171875,101940.71630859375,1787103.2170955883,556625.5263671875,328351.14794921875,6714568.217285156,2603384.093154488,47072.63818359375,3989838.3409103095,4630034.623399204,3291914.8564453125,2105383.230788526,9333414.78347503,1784119.470703125
Taupo District,2023-2024,2982802.825689338,1490962.7306315105,1361592.9541015625,6.767249460389283E7,5408383.646271829,1081163.8564453125,1105820.8955078125,1111527.5400390625,501108.2263959099,1011430.8408969056,6390244.812540211,1.417108095697036E8,9.82859244240311E7,465126.74104817706,6580456.653835402,3.65408977749483E7,2.829565244186198E7,7296603.918435968,8.333157159669691E7,9344729.322135417
Western Bay of Plenty District,2023-2024,5905164.087743184,315431.6736443015,276057.9228515625,7453996.660774739,627808.3961971508,315346.2545209099,496891.2412109375,996088.2427389706,15842.4697265625,584758.2309570312,1.318659418045726E7,9981596.590356924,1.7378987709340535E7,165855.05224609375,727038.1550628063,2899317.639579504,3931214.176491651,5239393.021752451,1.5687733967639398E7,1276017.1422047336
Tauranga City,2023-2024,236938.0078125,15793.1943359375,118456.67236328125,78966.24755859375,282913.908270144,7899.4208984375,36546.65855545343,15791.31103515625,,31607.74560546875,1079867.3353745404,894510.4383329503,441864.96756663604,39516.65771484375,31593.25927734375,83456.94589652267,101551.39658777573,172614.40302159925,753333.3903339461,126174.57222158395
Rotorua District,2023-2024,2545150.8681640625,86362.396484375,345410.439453125,1.3414894122143077E7,1916036.5140548407,149225.171875,438742.1044921875,623053.7093635111,62643.26416015625,603116.6113472732,3908072.1821289062,1.7090066147472426E7,2.7272661814646523E7,455121.6259765625,1433754.9497070312,1.0045544962488512E7,1.4134966407004444E7,1.2910855126338465E7,3.0099069715222888E7,4771978.121061198
Whakatane District,2023-2024,5059582.50835631,643034.181640625,445764.3365081189,1.1976953674119178E7,1022109.088604856,667098.6622817095,619585.0595703125,1128634.7799479165,54973.84765625,132766.36717601103,2.4515822021011412E7,4.7470431441547945E7,7.761293600010146E7,347060.50310968136,4599756.08772595,5730168.617091758,2.09013243768727E7,9601892.764769072,5.084404802279605E7,4413130.677540977
Kawerau District,2023-2024,7859.15869140625,,7860.58251953125,15717.9375,,,31436.91943359375,66238.20682827818,,,15717.36767578125,314364.0732421875,286037.71667815564,30973.203326056984,,,151325.57626761642,31898.80515088848,157179.09228515625,56428.95039636949
Ōpōtiki District,2023-2024,2437399.6158662685,244327.29931640625,185305.39243068322,2895327.289889706,157723.677734375,67655.1831495098,126008.66015625,2226437.521484375,23578.23486328125,7874.6064453125,1856940.2572457108,5455530.00390625,2042902.8534409467,15772.673828125,654152.2412109375,528034.197265625,944760.2788085938,314994.029296875,5129255.5830078125,354374.2724609375
Gisborne District,2023-2024,4693480.1728515625,542200.0375976562,704906.0952148438,2.1079833700195312E7,6111189.3037109375,281054.666015625,2000383.54296875,1227374.0727539062,469646.62890625,6708214.8017578125,1.0638457495398667E7,5.576681538023323E7,4.88868353266008E7,602754.5014648438,1.6289305045410156E7,1.0295901215820312E7,8.440584961397633E7,3.3046401567871094E7,6.516022671500076E7,2.3080387930351947E7
Hastings District,2023-2024,5730032.256975721,1221921.5060872396,1494911.9432617188,2.1489483293051086E7,7007414.728354779,1156936.5341796875,7824111.397972196,1019122.4637484681,747108.5771484375,2667866.220302926,1.1472777580522366E7,4.018606250529833E7,1.6135149872723268E7,2960191.134765625,9047171.56613243,1.9203505368910845E7,5.5450286712251075E7,2.3583735041532632E7,4.4602889666033626E8,2.834570707698568E7
Napier City,2023-2024,139867.72776118258,323724.9150390625,61610.38037109375,413315.71468864894,213374.14407169117,68649.08231847426,1279023.66796875,15006.966417738971,7708.60107421875,15409.26123046875,432537.22516850487,545472.5587603401,272993.29447763483,7700.267578125,69333.56640625,424665.04716796876,692958.6004767923,849037.0861347275,5852674.070697379,221715.98338120405
Central Hawke's Bay District,2023-2024,6784100.054999617,22948.0810546875,183670.85888671875,1.773720451577244E7,1961393.740209482,61332.3125,1.8478880377527572E7,436156.42578125,221766.99169921875,1996590.693315334,1.734061442150735E7,5215803.740389476,8460148.325668275,4524734.8896484375,1.2344146131684666E7,3.629151517573338E7,6.927459070995328E7,3.0063328818539366E7,2.1568616753927314E8,3.26932192998066E7
Wairoa District,2023-2024,3579161.15234375,598132.5708007812,186300.13037109375,9578828.311035156,985679.8071289062,845724.3002929688,1699486.2693014706,295074.015625,287061.6533203125,325760.9599609375,2468671.1215820312,1.7336860987120867E7,1.0742651900674019E7,31047.5439453125,1086713.552734375,4399041.2841796875,1.6724095404819623E7,2157856.0151367188,3.012910722916858E7,5385211.163196998
Tasman District,2023-2024,6931974.327665441,1585517.064453125,667029.0327148438,1.9350053537109375E7,2207412.3168945312,415271.18505859375,8393678.676757812,5822380.303222656,186866.1025390625,314768.359375,2821749.2133789062,4.384499025676126E7,6342374.5859375,804031.5190429688,863531.1396484375,5147045.3212890625,6.679679559765625E7,3738266.5087890625,3.9669595318847656E7,5011166.744140625
Nelson City,2023-2024,957564.8455652574,90233.86572265625,7514.65380859375,1105997.3203929227,142659.06689453125,37577.01904296875,240242.4697265625,112704.00732421875,,30046.41162109375,221731.83583792893,3208493.8549804688,293072.5419921875,,105112.68505859375,,668932.2216796875,17534.563802083332,4943262.830987669,97675.06396484375
Marlborough District,2023-2024,2884077.6875057444,67535.62451171875,314924.21875,1.1209915787735524E7,2544980.380045573,52577.0927734375,4.467883512409237E7,2505715.5327148438,269414.078125,1053489.958984375,2842703.0200195312,2.905551848828125E7,6326885.8681640625,3.052170879126072E7,4610698.718261719,4223609.920410156,4.376019006797447E8,6127732.122558594,4.572333373841337E7,5952129.893066406
Kaikoura District,2023-2024,755452.287109375,14852.95751953125,29737.28857421875,4509408.64430147,467223.1698759191,7381.22216796875,3374789.990789675,1780875.5288085938,976508.153381587,1087056.7607421875,140529.69189453125,450831.18212890625,207175.45703125,9130951.096057368,680306.7041015625,1539803.732421875,7836633.147639017,5441271.864439721,4647585.363254443,1007400.2744140625
Far North District,2023-2024,2976626.110705806,105920.1708984375,51406.50439644608,1.3270120926757812E7,1365382.9842562806,106327.310546875,2395094.0338599114,496680.0458984375,6469751.149917662,2.7961596300713265E8,350547.32421875,3.424990736059092E7,3.970616447526808E7,2184498.0050838697,3.2959501958099727E7,6276933.652094822,5.1781878717030495E7,6.317075272298752E7,4.96325841155599E7,1.4756212070117187E7
